Will I ever be able to set boundaries?,Feeling unworthy of love and respect is a common struggle; but know that you are inherently deserving of both

How do I stop feeling like I'm to blame for everything?,Building healthy relationships in the future starts with prioritizing self-love healing and setting boundaries

Why do I feel like I can't leave?,Feeling overwhelmed is a natural response to trauma. Practice self-care; reach out for support and take things one step at a time

Will I ever be able to make decisions for myself again?,Trust takes time to rebuild after betrayal. Surround yourself with trustworthy individuals and be patient with yourself as you learn to trust again

How do I stop feeling so numb?,Rebuilding your life after abuse is a journey of resilience and self-discovery. Take small steps forward and celebrate each milestone

Why do I feel like I'm not worthy of love and respect?,Dependency on an abuser is a common dynamic; but know that you have the strength and resources to create independence

